,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=628.3487915845371/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00041207005,-0.86328125,142.62828,140.99922,180.13861,179.37283,0.24082059,0.22646667,0.2233,0.2215,0.28653333,0.28543332,0.283,0.2386304215909055
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.1280148201123791,-1.0,1325.6492,1325.6492,1638.843,1638.843,0.59666353,0.34366667,0.34366667,0.3546,0.42495,0.42495,0.432,0.5947928132181207
alpha_post=173.20508075688775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0004451211,0.1282501220703125,155.49881,155.60326,93.42627,93.402466,0.91221845,0.8973,0.8979,0.8977,0.79286665,0.798,0.7993,0.9061213026250085
alpha_post=60000.00000000002/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.5220928427585876,-1.0,1560.9595,6.3725905,32509.406,132.7191,0.54044366,0.029516667,0.029516667,0.0296,0.90136665,0.90136665,0.9042,0.4793689471634708
alpha_post=15166.394348316875/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.1869221169847276,-1.0,1753.3776,443.2069,6483.451,1638.843,0.47974735,0.17403333,0.17403333,0.1819,0.42495,0.42495,0.432,0.4643609198391471
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.1280148201123791,-1.0,3186.0566,3186.0566,3488.8887,3488.8887,1.0832968,0.8303,0.8303,0.8305,0.90965,0.90965,0.9108,0.9609584692626992
alpha_post=60000.00000000002/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.4485802527862814,-1.0,5102.53,326.02264,25649.277,1638.843,0.60297614,0.12938334,0.12938334,0.1432,0.42495,0.42495,0.432,0.5843268285555152
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.108993255,3256.572265625,1135.0017,24.415194,4460.561,93.40247,0.4342451,0.2008,0.2049,0.2077,0.79286665,0.798,0.7993,0.4210675726356152
alpha_post=628.3487915845371/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.002640614,65.9930419921875,247.44122,67.90739,338.92935,93.402466,0.4293027,0.39296666,0.3914,0.3933,0.79286665,0.798,0.7993,0.4287908155090272
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.4510192,27047.580078125,5448.5073,0.0,32496.088,0.0,0.61156183,0.13668333,-1.0,0.1464,-1.0,-1.0,-1.0,0.594276980648559
