,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,comp_sgd_post,comp_sgd_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,risk_sgd_post,risk_sgd_prior,risk_sgd_test,seeger
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_5_0001.h5/prior=0.0/seed=0,0.24591976,14741.61328125,68.41797,0.0,14810.031,0.0,0.0,0.0,0.49150634,0.14085,-1,0.1509,-1,-1,-1,0.14161667,-1,0.1528,0.4704708985959167
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_3_001.h5/prior=0.0/seed=0,1.4305928,85821.9921875,0.03781702,0.0,85822.03,0.0,3748811.8,0.0,0.8844353,0.038683333,-1,0.0372,-1,-1,-1,0.035766665,-1,0.0345,0.8079314943511977
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_3_001.h5/prior=0.0/seed=0,214704.86,12882291712.0,0.49055177,0.0,12882292000.0,0.0,2432399.8,0.0,327.68307,0.03625,-1,0.0347,-1,-1,-1,0.035766665,-1,0.0345,0.999999999102438
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_5_001.h5/prior=0.0/seed=0,0.56661314,33983.21875,0.07390548,0.0,33983.293,0.0,431154.34,0.0,0.69013214,0.15786667,-1,0.1692,-1,-1,-1,0.1444,-1,0.1535,0.6725207663963326
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_1_0001.h5/prior=0.0/seed=0,0.50952524,30557.943359375,5.9765625,0.0,30563.92,0.0,0.0,0.0,0.53944016,0.0347,-1,0.0334,-1,-1,-1,0.035766665,-1,0.0345,0.4819798075115584
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_1_001.h5/prior=0.0/seed=0,0.0,-405127680.0,405127680.0,0.0,0.29844272,0.0,9463161000000.0,0.0,0.91356665,0.91356665,-1,0.9103,-1,-1,-1,0.14161667,-1,0.1528,0.9135666521800068
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_1_0001.h5/prior=0.0/seed=0,0.11941693,7151.44384765625,12.168945,0.0,7163.613,0.0,0.0,0.0,0.2782365,0.033883333,-1,0.0327,-1,-1,-1,0.035766665,-1,0.0345,0.1973850864253066
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_5_0001.h5/prior=0.0/seed=0,0.1163462,6967.2001953125,32.3291,0.0,6999.5293,0.0,0.0,0.0,0.27522433,0.034033332,-1,0.0328,-1,-1,-1,0.035766665,-1,0.0345,0.1946815619973932
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_5_0001.h5/prior=0.0/seed=0,0.46972927,28170.18359375,38.160156,0.0,28208.344,0.0,0.0,0.0,0.51929504,0.034666665,-1,0.0334,-1,-1,-1,0.035766665,-1,0.0345,0.4591769193438332
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_3_0001.h5/prior=0.0/seed=0,0.34061518,20423.337890625,109.552734,0.0,20532.89,0.0,0.0,0.0,0.5562667,0.14358333,-1,0.1534,-1,-1,-1,0.1444,-1,0.1535,0.5390740533216745
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_3_0001.h5/prior=0.0/seed=0,0.49432302,29645.80859375,21.736328,0.0,29667.545,0.0,0.0,0.0,0.53113675,0.033983335,-1,0.0328,-1,-1,-1,0.035766665,-1,0.0345,0.4721029013904267
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_5_001.h5/prior=0.0/seed=0,3.3225906,199341.859375,11.96875,0.0,199353.83,0.0,0.0,0.0,1.3236291,0.034716666,-1,0.0334,-1,-1,-1,0.035766665,-1,0.0345,0.97260200190113
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_3_001.h5/prior=0.0/seed=0,0.031208644,1858.9466552734373,1.0166487,0.0,1859.9633,0.0,656227.7,0.0,0.26658392,0.14166667,-1,0.1521,-1,-1,-1,0.14161667,-1,0.1528,0.2426692236762969
